generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2,best_obj_3,mean_obj_3,std_obj_3
34,1529200.6810299999,64,40.27070999145508,22.62140464782715,8.290081024169922,31.95890998840332,12.592914581298828,12.094247817993164,42.348331451416016,22.6950626373291,9.850812911987305,25.841310501098633,12.253658294677734,8.754204750061035
35,1557086.2156,64,40.27070999145508,23.653820037841797,8.520088195800781,31.95890998840332,10.51351547241211,12.83137035369873,42.5059928894043,22.499971389770508,10.725052833557129,25.841310501098633,11.030418395996094,9.006948471069336
36,1519070.820445,64,40.27070999145508,23.893970489501953,8.370108604431152,26.473358154296875,9.606075286865234,12.842504501342773,42.5059928894043,21.39223289489746,11.66856861114502,26.9188289642334,11.52979850769043,9.39862060546875
37,1512406.78856,64,40.27070999145508,24.243915557861328,7.92514705657959,26.473358154296875,10.074254035949707,12.162086486816406,42.5059928894043,21.982240676879883,10.507132530212402,27.282577514648438,11.814260482788086,9.496724128723145
38,1503468.07705,64,40.2828369140625,24.372217178344727,7.684383869171143,26.03055763244629,10.383498191833496,12.279950141906738,42.5059928894043,22.117122650146484,10.199997901916504,27.282577514648438,11.983299255371094,9.35167407989502
39,1490498.0982,64,40.2828369140625,24.16366195678711,7.362590312957764,26.050783157348633,10.86822509765625,12.50649356842041,42.5059928894043,21.876882553100586,10.385281562805176,27.282577514648438,12.560718536376953,9.218935012817383
40,1486437.3515,64,40.30360794067383,24.089454650878906,7.6825385093688965,26.182958602905273,9.941183090209961,12.982333183288574,43.008365631103516,21.843578338623047,11.025252342224121,27.282577514648438,11.639724731445312,9.526089668273926
41,1531410.3812,64,40.30360794067383,24.488998413085938,8.263345718383789,26.182958602905273,9.46410846710205,13.738109588623047,43.008365631103516,20.453136444091797,11.050024032592773,27.282577514648438,12.086639404296875,9.306063652038574
42,1506035.5628,64,40.30360794067383,23.348087310791016,8.961516380310059,26.61339569091797,9.495527267456055,13.700162887573242,43.27853012084961,19.941417694091797,12.927897453308105,30.678781509399414,12.38422966003418,9.665443420410156
43,1520091.5849499998,64,40.30360794067383,22.631553649902344,9.413551330566406,27.905344009399414,9.6076078414917,13.9080228805542,46.18757247924805,20.3924560546875,13.450997352600098,30.678781509399414,11.568424224853516,9.920433044433594
44,1520617.3343,64,40.30360794067383,21.834556579589844,9.551223754882812,29.608840942382812,10.195022583007812,13.967020988464355,46.18757247924805,19.888355255126953,13.168421745300293,30.678781509399414,11.873276710510254,9.93859577178955
45,1499489.7138,64,40.30360794067383,20.968650817871094,9.237112998962402,29.608840942382812,10.629521369934082,14.098501205444336,46.18757247924805,21.011245727539062,13.977140426635742,30.678781509399414,11.082836151123047,9.676165580749512
