generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
50,39286764.535679996,54,1235.3939208984375,1049.4033203125,74.13604736328125,1419.0963134765625,1051.8448486328125,79.7370834350586,995.36328125,924.2008056640625,105.02977752685547
51,39341020.71144,56,1235.3939208984375,1048.024658203125,75.2833251953125,1419.0963134765625,1046.221923828125,79.12141418457031,995.36328125,935.4737548828125,90.2542953491211
52,39082973.04624,52,1235.3939208984375,1054.8675537109375,76.96627807617188,1419.0963134765625,1050.8851318359375,78.45208740234375,995.36328125,918.3546752929688,102.08893585205078
53,39675821.01552,53,1235.3939208984375,1057.280517578125,75.60792541503906,1419.0963134765625,1051.540771484375,79.98845672607422,995.36328125,925.7600708007812,96.32704162597656
54,39925928.75256,56,1235.3939208984375,1054.05224609375,79.02326965332031,1419.0963134765625,1054.986572265625,79.88245391845703,995.36328125,930.125244140625,90.27792358398438
55,40062230.85264,57,1235.3939208984375,1050.7855224609375,80.6862564086914,1419.0963134765625,1058.8841552734375,81.66157531738281,995.36328125,929.8636474609375,90.82011413574219
56,40124426.95656,59,1235.3939208984375,1056.39453125,79.57259368896484,1419.0963134765625,1056.67333984375,81.99918365478516,995.36328125,923.7294921875,107.80450439453125
57,39740663.76216,61,1235.3939208984375,1056.177978515625,79.23678588867188,1419.0963134765625,1058.081787109375,83.27556610107422,995.36328125,929.691162109375,90.39373016357422
58,40247495.843040004,58,1235.3939208984375,1055.091552734375,78.38523864746094,1419.0963134765625,1057.6649169921875,83.78195190429688,995.36328125,919.83447265625,118.2593002319336
59,40238232.59352,59,1235.3939208984375,1056.2647705078125,78.0528564453125,1419.0963134765625,1055.8822021484375,83.89454650878906,995.36328125,926.971923828125,96.11676788330078
60,39830649.61464,62,1235.3939208984375,1060.907958984375,81.50175476074219,1419.0963134765625,1056.79736328125,85.17621612548828,995.36328125,926.4017333984375,96.78813934326172
61,40981939.197840005,58,1235.3939208984375,1061.8642578125,82.1064453125,1419.0963134765625,1055.912841796875,86.64762115478516,995.36328125,925.9136962890625,96.02812194824219
