generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
58,576414927.0528,4,1012.8502807617188,557.5271606445312,195.22833251953125,577.6788940429688,305.5677490234375,109.81563568115234,974.27880859375,504.1907958984375,186.451171875
59,576334132.00896,5,1012.8502807617188,586.3857421875,202.0454559326172,577.6788940429688,321.9872131347656,114.65340423583984,974.27880859375,531.11767578125,197.26368713378906
60,577956232.1971201,6,1016.1896362304688,609.03076171875,207.9781951904297,577.6788940429688,331.9442443847656,115.32291412353516,974.27880859375,545.2938232421875,198.8371124267578
61,578141519.11936,7,1016.1896362304688,626.1983642578125,208.7135467529297,577.6788940429688,340.6808776855469,117.15515899658203,974.27880859375,556.7612915039062,202.75314331054688
62,584158886.08384,9,1027.54248046875,658.6800537109375,215.52377319335938,577.6788940429688,358.9058837890625,120.15877532958984,974.27880859375,587.1390380859375,204.8394012451172
63,584357965.952,10,1027.54248046875,705.8492431640625,215.35372924804688,577.6788940429688,386.02398681640625,120.20121765136719,974.27880859375,629.4854736328125,202.41177368164062
64,583983227.37664,11,1027.54248046875,734.8563232421875,208.69871520996094,577.6788940429688,401.2283935546875,116.27470397949219,974.27880859375,659.1082763671875,196.24652099609375
65,584240860.1472,11,1027.54248046875,749.79443359375,203.4153289794922,577.6788940429688,408.9546203613281,114.72053527832031,974.27880859375,673.2017822265625,190.80923461914062
66,583877832.15232,12,1027.54248046875,803.1798095703125,185.83766174316406,577.6788940429688,437.4779052734375,106.12516784667969,974.27880859375,717.4583740234375,174.73060607910156
67,584357965.952,15,1027.54248046875,856.696533203125,158.12754821777344,577.6788940429688,466.80096435546875,91.91458129882812,974.27880859375,768.2734375,149.30062866210938
68,584521914.07872,16,1027.54248046875,864.744384765625,152.8621826171875,577.6788940429688,471.3038024902344,90.21027374267578,974.27880859375,775.0625,144.55987548828125
69,584416518.8544,17,1027.54248046875,892.8331909179688,135.10777282714844,577.6788940429688,486.9233093261719,81.95037841796875,974.27880859375,799.837158203125,132.23728942871094
70,584381387.11296,17,1027.54248046875,922.8086547851562,109.3999252319336,577.6788940429688,501.8190002441406,69.81389617919922,974.27880859375,818.6536865234375,114.52171325683594
71,584428229.43488,17,1027.54248046875,942.4288330078125,90.94898223876953,577.6788940429688,512.0691528320312,63.27130126953125,974.27880859375,830.0731811523438,106.37699127197266
72,584475071.7567999,18,1027.54248046875,975.2362670898438,56.48722457885742,577.6788940429688,529.598388671875,48.6823616027832,974.27880859375,852.8563842773438,90.73185729980469
73,584498492.91776,21,1027.54248046875,995.9618530273438,19.946664810180664,577.6788940429688,547.0712890625,31.324678421020508,974.27880859375,870.4681396484375,82.72349548339844
74,584475071.7567999,21,1027.54248046875,997.2421875,18.59583854675293,577.6788940429688,549.94921875,30.18330192565918,974.27880859375,874.2033081054688,81.74285125732422
75,584657573.55264,22,1027.54248046875,1002.7908935546875,12.682971000671387,578.072021484375,554.4649658203125,29.541101455688477,974.27880859375,870.6781616210938,92.12907409667969
76,584657573.55264,23,1027.54248046875,1004.0888671875,12.046982765197754,578.072021484375,555.0001220703125,30.155702590942383,974.27880859375,876.805419921875,88.74971771240234
77,587280808.0128,26,1027.54248046875,1004.802978515625,11.960518836975098,578.072021484375,554.25537109375,30.713394165039062,979.33740234375,872.5173950195312,101.7872543334961
78,587163003.1488,27,1027.54248046875,1005.3435668945312,11.781671524047852,578.072021484375,554.1702880859375,30.7515926361084,979.33740234375,868.6985473632812,101.9405517578125
79,586868490.9888,28,1027.54248046875,1006.9595336914062,11.647906303405762,578.072021484375,551.4326171875,33.80950164794922,979.33740234375,866.911865234375,99.86898040771484
80,587280808.0128,30,1027.54248046875,1008.3303833007812,10.584819793701172,578.072021484375,551.8580932617188,34.04104232788086,979.33740234375,864.8282470703125,101.22789764404297
81,587398612.8768001,32,1027.54248046875,1009.4017944335938,9.79494857788086,578.072021484375,549.9217529296875,35.30669021606445,979.33740234375,865.3322143554688,100.25023651123047
82,586974515.3664,34,1027.54248046875,1009.7418212890625,9.358384132385254,578.072021484375,551.510498046875,33.40989303588867,979.33740234375,868.923583984375,99.30608367919922
83,587610661.632,36,1027.54248046875,1010.335693359375,9.293335914611816,578.072021484375,552.4442749023438,30.96027183532715,979.33740234375,876.82763671875,91.31332397460938
84,587669564.064,37,1027.54248046875,1009.6845703125,9.39462947845459,578.072021484375,555.46240234375,29.633968353271484,979.33740234375,884.0450439453125,90.10920715332031
85,587763807.9552,39,1027.54248046875,1009.5252075195312,9.302590370178223,578.072021484375,556.00439453125,30.38640785217285,979.33740234375,891.1529541015625,79.18109893798828
86,587363271.4175999,40,1027.54248046875,1010.0257568359375,9.266195297241211,578.072021484375,554.8289794921875,30.310590744018555,979.33740234375,893.6744384765625,78.23397827148438
87,587481076.2816,42,1027.54248046875,1010.3112182617188,9.17957878112793,578.072021484375,554.4105224609375,30.189828872680664,979.33740234375,886.0354614257812,91.01387786865234
88,587176315.8016,44,1027.54248046875,1010.123291015625,9.099176406860352,578.1099243164062,554.6040649414062,31.08711051940918,979.33740234375,888.1851806640625,91.43380737304688
89,587576877.49376,45,1027.54248046875,1009.5640869140625,10.418481826782227,578.1099243164062,552.19970703125,34.93922424316406,979.33740234375,890.7058715820312,92.3563461303711
90,587742197.4886401,48,1027.5841064453125,1009.797119140625,10.635602951049805,578.1099243164062,551.716552734375,35.509521484375,979.33740234375,888.848388671875,101.5993423461914
91,587816783.7696,53,1027.6318359375,1010.10302734375,10.797115325927734,578.1099243164062,551.536865234375,35.572364807128906,979.33740234375,899.4443969726562,89.99053192138672
92,587866217.472,55,1028.06591796875,1010.8199462890625,10.934890747070312,578.1099243164062,549.0399169921875,39.977325439453125,979.33740234375,896.4529418945312,90.1443862915039
93,587960515.584,55,1028.06591796875,1011.4576416015625,9.632158279418945,578.1099243164062,551.7318115234375,36.756248474121094,979.33740234375,893.6472778320312,91.40953826904297
94,588184473.6,60,1028.06591796875,1011.149169921875,10.307671546936035,578.1099243164062,550.873291015625,37.63356399536133,979.33740234375,903.1217041015625,80.3497085571289
95,588231622.656,60,1028.06591796875,1011.0908203125,10.231649398803711,578.1099243164062,551.7862548828125,35.71601104736328,979.33740234375,905.0556030273438,80.11985778808594
96,588432006.1439999,58,1028.06591796875,1010.40673828125,10.552389144897461,578.1099243164062,553.1981811523438,35.64226531982422,979.33740234375,899.5888061523438,81.551513671875
97,588496838.86208,60,1028.42431640625,1010.458984375,10.163325309753418,578.1099243164062,555.0972900390625,34.522361755371094,979.33740234375,900.5912475585938,81.0921630859375
98,588437881.87648,60,1028.42431640625,1009.9961547851562,10.612253189086914,578.1099243164062,555.0661010742188,34.5480842590332,979.33740234375,903.096923828125,80.51827239990234
99,588567587.2448,64,1028.42431640625,1010.6004028320312,10.006875038146973,578.1099243164062,556.9595336914062,27.447792053222656,979.33740234375,906.7745361328125,80.06670379638672
